BSE/BOM533022,20 Microns Ltd
NSE/IBSEC,Indiabulls Securities Ltd
BSE/BOM532960,Indiabulls Ventures Ltd
BSE/BOM533520,Indiabulls Wholesale Services Ltd
BSE/BOM506131,Indiaco Ventures Ltd
BSE/BOM514165,Indian Acrylics Ltd
BSE/BOM532814,Indian Bank
BSE/BOM504731,Indian Bright Steel Coltd
BSE/BOM509692,Indian Card Clothing Coltd
NSE/INDIANCARD,Indian Card Clothing Company Ltd
BSE/BOM524614,Indian Extractions Ltd
BSE/BOM500850,Indian Hotels Coltd
BSE/BOM504741,Indian Hume Pipe Coltd
NSE/INDIANHUME,Indian Hume Pipe Company Ltd
BSE/BOM509051,Indian Infotech & Software Ltd
BSE/BOM504746,Indian Link Chain Manufactures Ltd
BSE/BOM533047,Indian Metals & Ferro Alloys Ltd
BSE/BOM530965,Indian Oil Corporation Ltd
BSE/BOM532388,Indian Overseas Bank
BSE/BOM500319,Indian Sucrose Ltd
BSE/BOM533329,Indian Terrain Fashions Ltd
BSE/BOM523586,Indian Toners & Developers Ltd
BSE/BOM501700,Indianivesh Ltd
BSE/BOM532745,Inditrade Capital Ltd
BSE/BOM524648,Indo Amines Ltd
BSE/BOM530747,Indo Asian Finance Ltd
BSE/BOM531084,Indo Bonito Multinational Ltd
BSE/BOM524342,Indo Borax & Chemicals Ltd
BSE/BOM538838,Indo Cotspin Ltd
BSE/BOM521016,Indo Count Industries Ltd
BSE/BOM526887,Indo Credit Capital Ltd
BSE/BOM524458,Indo Euro Indchem Ltd
BSE/BOM531565,Indo Pacific Projects Ltd
BSE/BOM500207,Indo Rama Synthetics (india) Ltd
BSE/BOM532717,Indo Tech Transformers Ltd
BSE/BOM533676,Indo Thai Securities Ltd
BSE/BOM531674,Indo-asian Projects Ltd
BSE/BOM532100,Indo-city Infotech Ltd
BSE/BOM539433,Indo-global Enterprises Ltd
BSE/BOM504058,Indo-national Ltd
BSE/BOM532612,Indoco Remedies Ltd
BSE/BOM504092,Indokem Ltd
BSE/BOM533257,Indosolar Ltd
BSE/BOM521005,Indovation Technologies Ltd
BSE/BOM532894,Indowind Energy Ltd
BSE/BOM539175,Indra Industries Ltd
BSE/BOM532514,Indraprastha Gas Ltd
BSE/BOM532150,Indraprastha Medical Corpltd
NSE/INDRAMEDCO,Indraprastha Medical Corporation Ltd
BSE/BOM526445,Indrayani Biotech Ltd
BSE/BOM522165,Indsil Hydro Power And Manganese Ltd
BSE/BOM503639,Indsoya Ltd
BSE/BOM504336,Indtradeco Ltd
BSE/BOM532001,Inducto Steel Ltd
BSE/BOM532821,Indus Fila Ltd
BSE/BOM531841,Indus Finance Ltd
BSE/BOM532187,Indusind Bank Ltd
BSE/BOM501298,Industrial & Prudential Investments Coltd
BSE/BOM501295,Industrial Investment Trust Ltd
NSE/INEABS,INEOS ABS (India) Ltd
BSE/BOM506222,Ineos Styrolution India Ltd
BSE/BOM512025,Inertia Steel Ltd
NSE/INFIBEAM,Infibeam Incorporation Ltd
BSE/BOM533154,Infinite Computer Solutions (india) Ltd
BSE/BOM532777,Info Edge (india) Ltd
BSE/BOM530703,Info-drive Software Ltd
BSE/BOM509069,Infomedia Press Ltd
BSE/BOM504810,Informed Technologies India Ltd
BSE/BOM500209,Infosys Ltd
NSE/INFOTECENT,Infotech Enterprises Ltd
BSE/BOM530777,Infra Industries Ltd
BSE/BOM590118,Infronics Systems Ltd
BSE/BOM531807,Ing Vysya Bank Ltd
NSE/INGERRAND,Ingersoll Rand (India) Ltd
BSE/BOM500210,Ingersoll-rand (india) Ltd
BSE/BOM530787,Inland Printers Ltd
BSE/BOM531929,Innocorp Ltd
BSE/BOM533315,Innovassynth Investments Ltd
BSE/BOM517433,Innovation Software Exports Ltd
BSE/BOM523840,Innovative Tech Pack Ltd
BSE/BOM533402,Innoventive Industries Ltd
BSE/BOM512375,Innoventive Venture Ltd
BSE/BOM532706,Inox Leisure Ltd
BSE/BOM539083,Inox Wind Ltd
BSE/BOM532851,Insecticides (india) Ltd
BSE/BOM500211,Insilco Ltd
BSE/BOM511433,Insta Finance Ltd
BSE/BOM526871,Intec Capital Ltd
BSE/BOM531314,Integra Capital Management Ltd
BSE/BOM505358,Integra Engineering India Ltd
BSE/BOM535958,Integra Garments And Textiles Ltd
BSE/BOM517423,Integra Switchgear Ltd
BSE/BOM536868,Integra Telecommunication & Software Ltd
BSE/BOM539149,Integrated Capital Services Ltd
BSE/BOM500212,Integrated Financial Services Ltd
BSE/BOM532303,Integrated Hitech Ltd
BSE/BOM519606,Integrated Proteins Ltd
BSE/BOM531889,Integrated Technologies Ltd
BSE/BOM530921,Integrated Thermoplastics Ltd
BSE/BOM538835,Intellect Design Arena Ltd
BSE/BOM534732,Intellivate Capital Advisors Ltd
BSE/BOM506134,Intellivate Capital Ventures Ltd
BSE/BOM531777,Intellvisions Software Ltd
BSE/BOM532326,Intense Technologies Ltd
BSE/BOM511391,Inter Globe Finance Ltd
BSE/BOM530259,Inter State Oil Carrier Ltd
BSE/BOM531551,Intercorp Industries Ltd
BSE/BOM530519,Interface Financial Services Ltd
BSE/BOM539448,Interglobe Aviation Ltd
BSE/BOM526512,Interlink Petroleum Ltd
BSE/BOM505737,International Combustion (india) Ltd
BSE/BOM509709,International Conveyors Ltd
BSE/BOM517044,International Data Management Ltd
BSE/BOM530781,International Housing Finance Corporation Ltd
BSE/BOM502330,International Paper Appm Ltd
BSE/BOM500213,International Travel House Ltd
BSE/BOM532072,Interworld Digital Ltd
BSE/BOM533181,Intrasoft Technologies Ltd
BSE/BOM533506,Inventure Growth & Securities Ltd
NSE/IVZINGOLD,Invesco India Gold Exchange Traded Fund
NSE/IVZINNIFTY,Invesco India Nifty Exchange Traded Fund
BSE/BOM504786,Investment & Precision Castings Ltd
BSE/BOM523844,Invicta Meditek Ltd
BSE/BOM523752,Io System Ltd
BSE/BOM524164,Iol Chemicals & Pharmaceuticals Ltd
NSE/IOLCP,IOL Chemicals and Pharmaceuticals Ltd
NSE/IOLN,IOL Netcom Ltd
BSE/BOM500214,Ion Exchange (india) Ltd
NSE/IPRINGLTD,IP Rings Ltd
BSE/BOM524494,Ipca Laboratories Ltd
BSE/BOM538309,Ipru2365
BSE/BOM538310,Ipru2366
BSE/BOM538311,Ipru8565
BSE/BOM538312,Ipru8566
BSE/BOM532947,Irb Infrastructure Developers Ltd
BSE/BOM531337,Iris Mediaworks Ltd
BSE/BOM526859,Isf Ltd
BSE/BOM533033,Isgec Heavy Engineering Ltd
BSE/BOM531109,Ishan Dyes & Chemicals Ltd
BSE/BOM524400,Ishita Drugs & Industries Ltd
BSE/BOM506161,Ishwarshakti Holdings & Traders Ltd
BSE/BOM511609,Isl Consulting Ltd
BSE/BOM532479,Ismt Ltd
BSE/BOM508807,Ist Ltd
BSE/BOM524622,Istreet Network Ltd
BSE/BOM500875,Itc Ltd
BSE/BOM509496,Itd Cementation India Ltd
BSE/BOM523610,Iti Ltd
BSE/BOM522183,Itl Industries Ltd
BSE/BOM507580,Ivp Ltd
NSE/IVRCLAH,IVRCL Assets & Holdings Ltd
BSE/BOM530773,Ivrcl Ltd
BSE/BOM522245,Iykot Hitech Toolroom Ltd
NSE/IZMO,IZMO Ltd
BSE/BOM538539,J Taparia Projects Ltd
BSE/BOM506943,Jbchemicals & Pharmaceuticals Ltd
BSE/BOM530049,Jjexporters Ltd
BSE/BOM523062,Jjfinance Corporation Ltd
BSE/BOM532644,Jkcement Ltd
BSE/BOM532940,Jkumar Infraprojects Ltd
BSE/BOM506522,Jlmorison (india) Ltd
BSE/BOM530915,Jrfoods Ltd
BSE/BOM538422,Jackson Investments Ltd
BSE/BOM530711,Jagan Lamps Ltd
BSE/BOM507155,Jagatjit Industries Ltd
BSE/BOM532825,Jagjanani Textiles Ltd
BSE/BOM532705,Jagran Prakashan Ltd
BSE/BOM531695,Jagran Production Ltd
BSE/BOM520139,Jagson Airlines Ltd
BSE/BOM530601,Jagsonpal Finance & Leasing Ltd
BSE/BOM507789,Jagsonpal Pharmaceuticals Ltd
BSE/BOM532976,Jai Balaji Industries Ltd
BSE/BOM512237,Jai Corp Ltd
BSE/BOM523467,Jai Mata Glass Ltd
BSE/BOM531339,Jaihind Projects Ltd
BSE/BOM514312,Jaihind Synthetics Ltd
BSE/BOM500219,Jain Irrigation Systems Ltd
BSE/BOM539119,Jain Marmo Industries Ltd
BSE/BOM532033,Jain Studios Ltd
BSE/BOM526865,Jainco Projects (india) Ltd
BSE/BOM505212,Jainex Aamcol Ltd
BSE/BOM505840,Jaipan Industries Ltd
BSE/BOM532532,Jaiprakash Associates Ltd
BSE/BOM532627,Jaiprakash Power Ventures Ltd
BSE/BOM526558,James Hotels Ltd
BSE/BOM538564,James Warren Tea Ltd
BSE/BOM532209,Jammu & Kashmir Bank Ltd
BSE/BOM520051,Jamna Auto Industries Ltd
BSE/BOM502901,Jamshri Ranjitsinghji Spg & Wvg Mills Coltd
BSE/BOM512329,Jarigold Textiles Ltd
BSE/BOM500220,Jasch Industries Ltd
BSE/BOM514318,Jattashankar Industies Ltd
BSE/BOM526001,Jauss Polymers Ltd
BSE/BOM520066,Jay Bharat Maruti Ltd
BSE/BOM526523,Jay Energy And Senergies Ltd
BSE/BOM590132,Jay Mahesh Infraventures Ltd
BSE/BOM509715,Jay Shree Tea & Industries Ltd
BSE/BOM513252,Jay Ushin Ltd
BSE/BOM501311,Jayabharat Credit Ltd
NSE/JAYAGROGN,Jayant Agro Organics Ltd
BSE/BOM524330,Jayant Agro-organics Ltd
BSE/BOM512129,Jayant Mercantile Coltd
BSE/BOM522285,Jayaswal Neco Industries Ltd
BSE/BOM539005,Jayatma Spinners Ltd
BSE/BOM531382,Jayavant Products Ltd
BSE/BOM512233,Jaybharat Textiles & Real Estate Ltd
BSE/BOM500306,Jaykay Enterprises Ltd
BSE/BOM533207,Jaypee Infratech Ltd
BSE/BOM506520,Jayshree Chemicals Ltd
NSE/JAYSREETEA,Jayshree Tea & Industries Ltd
BSE/BOM506910,Jaysynth Dyestuff (india) Ltd
NSE/JBCHEPHARM,JB Chemicals & Pharmaceuticals Ltd
BSE/BOM514034,Jbf Industries Ltd
BSE/BOM532605,Jbm Auto Ltd
BSE/BOM500222,Jct Electronics Ltd
BSE/BOM500223,Jct Ltd
BSE/BOM524592,Jd Orgochem Ltd
BSE/BOM513012,Jeet Machine Tools Ltd
BSE/BOM538837,Jeevan Scientific Technology Ltd
BSE/BOM524731,Jenburkt Pharmaceuticals Ltd
BSE/BOM523592,Jenson & Nicholson (india) Ltd
BSE/BOM532617,Jet Airways (india) Ltd
BSE/BOM538794,Jet Infraventure Ltd
BSE/BOM517063,Jetking Infotrain Ltd
BSE/BOM590054,Jeypore Sugar Company Ltd
BSE/BOM531550,Jhaveri Credits & Capital Ltd
BSE/BOM532771,Jhs Svendgaard Laboratories Ltd
BSE/BOM511618,Jik Industries Ltd
BSE/BOM530405,Jindal Capital Ltd
BSE/BOM533103,Jindal Cotex Ltd
BSE/BOM511034,Jindal Drilling & Industries Ltd
NSE/JINDRILL,Jindal Drilling And Industries Ltd
BSE/BOM507981,Jindal Hotels Ltd
BSE/BOM531960,Jindal Onlinecom Ltd
BSE/BOM532624,Jindal Photo Ltd
BSE/BOM500227,Jindal Poly Films Ltd
BSE/BOM536773,Jindal Poly Investment And Finance Company Ltd
BSE/BOM500378,Jindal Saw Ltd
NSE/JINDALSWHL,Jindal South West Holdings Ltd
NSE/JSLHISAR,Jindal Stainless (Hisar) Ltd
BSE/BOM532508,Jindal Stainless Ltd
BSE/BOM532286,Jindal Steel & Power Ltd
BSE/BOM531543,Jindal Worldwide Ltd
BSE/BOM539225,Jiya Eco-products Ltd
BSE/BOM536493,Jk Agri Genetics Ltd
NSE/JKCEMENT,JK Cement Ltd
BSE/BOM500380,Jk Lakshmi Cement Ltd
BSE/BOM532162,Jk Paper Ltd
BSE/BOM530007,Jk Tyre & Industries Ltd
BSE/BOM538765,Jla Infraville Shoppers Ltd
NSE/JMFINANCIL,JM Financial Ltd
NSE/JMCPROJECT,JMC Projects (India) Ltd
BSE/BOM511092,Jmd Telefilms Industries Ltd
BSE/BOM523712,Jmg Corporation Ltd
BSE/BOM513691,Jmt Auto Ltd
NSE/JOCIL,Jocil Ltd
NSE/JCHAC,Johnson Controls Hitachi Air Conditioning India Ltd
BSE/BOM523398,Johnson Controls-hitachi Air Conditioning India Ltd
BSE/BOM531861,Joindre Capital Services Ltd
BSE/BOM534659,Jointeca Education Solutions Ltd
BSE/BOM507968,Jolly Plastic Industries Ltd
BSE/BOM538092,Joonktollee Tea & Industries Ltd
BSE/BOM505750,Jost's Engineering Coltd
BSE/BOM508929,Joy Realty Ltd
BSE/BOM530985,Jpt Securities Ltd
BSE/BOM506016,Jri Industries & Infrastructure Ltd
BSE/BOM504080,Jsl Industries Ltd
BSE/BOM533148,Jsw Energy Ltd
BSE/BOM532642,Jsw Holdings Ltd
NSE/JSWISPAT,JSW ISPAT Steel Ltd
BSE/BOM500228,Jsw Steel Ltd
BSE/BOM534600,Jtl Infra Ltd
BSE/BOM533155,Jubilant Foodworks Ltd
BSE/BOM533320,Jubilant Industries Ltd
BSE/BOM530019,Jubilant Life Sciences Ltd
NSE/JMA,Jullundur Motor Agency (Delhi) Ltd
BSE/BOM516078,Jumbo Bag Ltd
BSE/BOM511060,Jumbo Finance Ltd
BSE/BOM539216,Junction Fabrics And Apparels Ltd
NSE/JUPITER,Jupiter Bioscience Ltd
BSE/BOM507987,Jupiter Industries & Leasing Ltd
BSE/BOM534623,Jupiter Infomedia Ltd
BSE/BOM535648,Just Dial Ltd
BSE/BOM519248,Jvl Agro Industries Ltd
BSE/BOM531537,Jyothi Infraventures Ltd
BSE/BOM532926,Jyothy Laboratories Ltd
BSE/BOM504076,Jyoti Ltd
BSE/BOM523876,Jyoti Overseas Ltd
BSE/BOM514448,Jyoti Resins & Adhesives Ltd
BSE/BOM513250,Jyoti Structures Ltd
BSE/BOM539246,Jyotirgamya Enterprises Ltd
BSE/BOM503669,K K Fincorp Ltd
NSE/KSOILS,K S Oils Ltd
BSE/BOM514221,K-lifestyle & Industries Ltd
BSE/BOM590066,Kcpltd
BSE/BOM532673,Kmsugar Mills Ltd
NSE/KPRMILL,KPR Mill Ltd
BSE/BOM532889,Kprmill Ltd
BSE/BOM526209,Ksoils Ltd
BSE/BOM511728,Kzleasing & Finance Ltd
BSE/BOM539393,Kabra Commercial Ltd
BSE/BOM524322,Kabra Drugs Ltd
NSE/KABRAEXTRU,Kabra Extrusion Technik Ltd
BSE/BOM524109,Kabra Extrusiontechnik Ltd
BSE/BOM531778,Kachchh Minerals Ltd
BSE/BOM511357,Kailash Auto Finance Ltd
BSE/BOM504840,Kaira Can Coltd
BSE/BOM531780,Kaiser Corporation Ltd
BSE/BOM500233,Kajaria Ceramics Ltd
BSE/BOM500234,Kakatiya Cement Sugar & Industries Ltd
BSE/BOM521054,Kakatiya Textiles Ltd
NSE/KALECONSUL,Kale Consultants Ltd
BSE/BOM522259,Kalindee Rail Nirman (engineers) Ltd
BSE/BOM530201,Kallam Spinning Mills Ltd
BSE/BOM539014,Kalpa Commercial Ltd
BSE/BOM522287,Kalpataru Power Transmission Ltd
BSE/BOM590036,Kalptaru Papers Ltd
BSE/BOM513509,Kalyani Forge Ltd
BSE/BOM533302,Kalyani Investment Company Ltd
BSE/BOM500235,Kalyani Steels Ltd
BSE/BOM502150,Kalyanpur Cements Ltd
BSE/BOM532468,Kama Holdings Ltd
BSE/BOM514322,Kamadgiri Fashion Ltd
BSE/BOM511131,Kamanwala Housing Construction Ltd
NSE/KAMATHOTEL,Kamat Hotels (I) Ltd
BSE/BOM526668,Kamat Hotels (india) Ltd
NSE/KIL,Kamdhenu Ispat Ltd
BSE/BOM532741,Kamdhenu Ltd
BSE/BOM506184,Kanani Industries Ltd
BSE/BOM538896,Kanchi Karpooram Ltd
BSE/BOM590084,Kanco Enterprises Ltd
BSE/BOM590130,Kanco Tea & Industries Ltd
NSE/KANDAGIRI,Kandagiri Spinning Mills Ltd
BSE/BOM500236,Kanel Industries Ltd
BSE/BOM532367,Kanika Infotech Ltd
BSE/BOM513456,Kanishk Steel Industries Ltd
BSE/BOM506525,Kanoria Chemicals & Industries Ltd
BSE/BOM507779,Kanpur Plastipack Ltd
BSE/BOM500165,Kansai Nerolac Paints Ltd
BSE/BOM531205,Kansal Fibres Ltd
BSE/BOM512399,Kapashi Commercials Ltd
BSE/BOM512036,Kapil Cotex Ltd
BSE/BOM506938,Kappac Pharma Ltd
BSE/BOM590053,Kar Mobiles Ltd
BSE/BOM526115,Karan Woo-sin Ltd
BSE/BOM533451,Karma Energy Ltd
BSE/BOM512585,Karma Industries Ltd
BSE/BOM532652,Karnataka Bank Ltd
BSE/BOM538928,Karnavati Finance Ltd
BSE/BOM537784,Karnimata Cold Storage Ltd
BSE/BOM501151,Kartik Investments Trust Ltd
NSE/KARURKCP,Karur KCP Packkagings Ltd
BSE/BOM531363,Karur Kcppackkagings Ltd
BSE/BOM590003,Karur Vysya Bank Ltd
BSE/BOM531687,Karuturi Global Ltd
BSE/BOM502933,Katare Spinning Mills Ltd
BSE/BOM530977,Katwa Udyog Ltd
BSE/BOM538295,Kausambi Vanijya Ltd
BSE/BOM532925,Kaushalya Infrastructure Development Corporation Ltd
BSE/BOM532899,Kaveri Seed Company Ltd
BSE/BOM524444,Kavit Industries Ltd
BSE/BOM535136,Kavita Fabrics Ltd
NSE/KAVVERITEL,Kavveri Telecom Products Ltd
BSE/BOM530255,Kay Power And Paper Ltd
BSE/BOM539276,Kaya Ltd
BSE/BOM504084,Kaycee Industries Ltd
BSE/BOM530357,Kbs India Ltd
BSE/BOM526067,Kccl Plastic Ltd
BSE/BOM531784,Kcl Infra Projects Ltd
NSE/KCP,KCP Ltd
BSE/BOM533192,Kcp Sugar & Industries Corporation Ltd
NSE/KCPSUGIND,KCP Sugar and Industries Corporation Ltd
NSE/KDDL,KDDL Ltd
BSE/BOM530701,Kdj Holidayscapes And Resorts Ltd
BSE/BOM532291,Kdl Biotech Ltd
BSE/BOM532714,Kec International Ltd
BSE/BOM508993,Kedia Construction Coltd
BSE/BOM518011,Keerthi Industries Ltd
BSE/BOM517569,Kei Industries Ltd
BSE/BOM519602,Kellton Tech Solutions Ltd
BSE/BOM506528,Keltech Energies Ltd
BSE/BOM512113,Kelvin Fincap Ltd
BSE/BOM531163,Kemistar Corporation Ltd
BSE/BOM506530,Kemp & Company Ltd
BSE/BOM526015,Kemrock Industries & Exports Ltd
NSE/KEMROCK,Kemrock Industries and Exports Ltd
BSE/BOM530547,Ken Financial Services Ltd
BSE/BOM505890,Kennametal India Ltd
BSE/BOM530163,Kerala Ayurveda Ltd
BSE/BOM532686,Kernex Microsystems (india) Ltd
NSE/KESARENT,Kesar Enterprises Ltd
BSE/BOM524174,Kesar Petroproducts Ltd
BSE/BOM533289,Kesar Terminals & Infrastructure Ltd
BSE/BOM502937,Kesoram Industries Ltd
BSE/BOM532758,Kew Industries Ltd
BSE/BOM532732,Kewal Kiran Clothing Ltd
BSE/BOM507948,Key Corp Ltd
BSE/BOM512597,Keynote Corporate Services Ltd
BSE/BOM500239,Kg Denim Ltd
BSE/BOM531609,Kg Petrochem Ltd
BSE/BOM533790,Kgn Enterprises Ltd
BSE/BOM531612,Kgn Industries Ltd
BSE/BOM590068,Khaitan (india) Ltd
BSE/BOM507794,Khaitan Chemicals & Fertilizers Ltd
BSE/BOM504269,Khaitan Electricals Ltd
BSE/BOM519064,Khandelwal Extraction Ltd
BSE/BOM531892,Khandwala Securities Ltd
BSE/BOM506178,Khatau Exim Ltd
BSE/BOM521127,Khator Fibre & Fabrics Ltd
BSE/BOM507435,Khoday India Ltd
BSE/BOM535730,Khoobsurat Ltd
BSE/BOM531692,Khyati Multimedia-entertainment Ltd
BSE/BOM513693,Kic Metaliks Ltd
BSE/BOM507946,Kiduja India Ltd
BSE/BOM535566,Kifs Financial Services Ltd
BSE/BOM524699,Kilburn Chemicals Ltd
BSE/BOM522101,Kilburn Engineering Ltd
BSE/BOM523218,Kilburn Office Automation Ltd
BSE/BOM524500,Kilitch Drugs (india) Ltd
BSE/BOM532067,Kilpest India Ltd
BSE/BOM500240,Kinetic Engineering Ltd
NSE/KINETICMOT,Kinetic Motor Company Ltd
BSE/BOM531274,Kinetic Trust Ltd
BSE/BOM524019,Kingfa Science & Technology (india) Ltd
BSE/BOM532747,Kingfisher Airlines Ltd
BSE/BOM530215,Kings Infra Ventures Ltd
BSE/BOM531413,Kiran Print-pack Ltd
BSE/BOM530443,Kiran Syntex Ltd
BSE/BOM537750,Kiran Vyapar Ltd
BSE/BOM532967,Kiri Industries Ltd
BSE/BOM533297,Kirloskar Brothers Investments Ltd
NSE/KIRLOSBROS,Kirloskar Brothers Ltd
BSE/BOM533193,Kirloskar Electric Company Ltd
BSE/BOM500245,Kirloskar Ferrous Industries Ltd
BSE/BOM500243,Kirloskar Industries Ltd
BSE/BOM533293,Kirloskar Oil Engines Ltd
BSE/BOM505283,Kirloskar Pneumatic Coltd
BSE/BOM530145,Kisan Mouldings Ltd
BSE/BOM521248,Kitex Garments Ltd
NSE/KITPLYIND,Kitply Industries Ltd
BSE/BOM532304,Kjmc Corporate Advisors (india) Ltd
BSE/BOM530235,Kjmc Financial Services Ltd
BSE/BOM526409,Kkalpana Industries (india) Ltd
BSE/BOM523652,Kkalpana Plastick Ltd
BSE/BOM530771,Klg Capital Services Ltd
BSE/BOM531269,Klg Systel Ltd
BSE/BOM517170,Klk Electrical Ltd
BSE/BOM507598,Klrf Ltd
BSE/BOM524520,Kmc Speciality Hospitals (india) Ltd
BSE/BOM531578,Kmf Builders & Developers Ltd
BSE/BOM519415,Kmg Milk Food Ltd
BSE/BOM532942,Knr Constructions Ltd
BSE/BOM517471,Koa Tools India Ltd
BSE/BOM531602,Koffee Break Pictures Ltd
BSE/BOM531366,Kohinoor Broadcasting Corporation Ltd
BSE/BOM512559,Kohinoor Foods Ltd
BSE/BOM519485,Kohinoor Techno Engineers Ltd
NSE/KOKUYOCMLN,Kokuyo Camlin Ltd
NSE/KOLTEPATIL,Kolte - Patil Developers Ltd
BSE/BOM532924,Kolte-patil Developers Ltd
BSE/BOM514128,Konark Synthetic Ltd
BSE/BOM524280,Kopran Ltd
BSE/BOM500458,Kore Foods Ltd
BSE/BOM500247,Kotak Mahindra Bank Ltd
NSE/KOTAKBKETF,Kotak Mahindra MF - Kotak Banking ETF - Dividend Payout Option
NSE/KOTAKPSUBK,Kotak Mahindra Mutual Fund
BSE/BOM539137,Kotak Mahindra Mutual Fund - Kotak India Growth Fund Series I Direct Plan- Dividend Option
BSE/BOM539136,Kotak Mahindra Mutual Fund - Kotak India Growth Fund Series I Direct Plan- Growth Option
BSE/BOM539135,Kotak Mahindra Mutual Fund - Kotak India Growth Fund Series I Non Direct Plan- Dividend Option
BSE/BOM539133,Kotak Mahindra Mutual Fund - Kotak India Growth Fund Series I Non Direct Plan- Growth Option
BSE/BOM537708,Kotak Mahindra Mutual Fund - Kotak Nifty Etf
BSE/BOM590107,Kotak Mahindra Mutual Fund - Kotak Psu Bank Etf
BSE/BOM590112,Kotak Mahindra Mutual Fund - Permitted
NSE/KOTAKNIFTY,Kotak Mahindra Mutual Fund-Kotak Nifty ETF
NSE/KOTAKGOLD,Kotak Mutual Fund - Gold Exchange Traded Fund
BSE/BOM532985,Kotak Sensex Etf
NSE/KOTAKNV20,KOTAKMAMC - KTKNV20ETF
BSE/BOM507474,Kothari Fermentation & Biochem Ltd
NSE/KOTHARIPET,Kothari Petrochemicals Ltd
BSE/BOM530299,Kothari Products Ltd
NSE/KOTARISUG,Kothari Sugars And Chemicals Ltd
BSE/BOM511138,Kothari World Finance Ltd
NSE/KOUTONS,Koutons Retail India Ltd
BSE/BOM523323,Kovai Medical Center & Hospital Ltd
BSE/BOM505585,Kovalam Investment & Trading Coltd
BSE/BOM532400,Kpit Technologies Ltd
BSE/BOM501261,Kratos Energy & Infrastructure Ltd
BSE/BOM530813,Krbl Ltd
BSE/BOM524518,Krebs Biochemicals & Industries Ltd
BSE/BOM530139,Kreon Finnancial Services Ltd
BSE/BOM533482,Kridhan Infra Ltd
BSE/BOM526753,Kriptol Industries Ltd
BSE/BOM539446,Krishana Fabrics Ltd
BSE/BOM539384,Krishna Capital And Securities Ltd
NSE/KRISHNAENG,Krishna Engineering Works Ltd
BSE/BOM513627,Krishna Ferro Products Ltd
BSE/BOM504392,Krishna Ventures Ltd
NSE/KRITIIND,Kriti Industries (India) Ltd
BSE/BOM533210,Kriti Nutrients Ltd
BSE/BOM523550,Krypton Industries Ltd
BSE/BOM500249,Ksb Pumps Ltd
NSE/KSE,KSE Ltd
BSE/BOM503626,Kshitiz Investment Ltd
BSE/BOM532997,Ksk Energy Ventures Ltd
BSE/BOM530149,Ksl And Industries Ltd
NSE/KSERASERA,KSS Ltd
BSE/BOM532937,Kuantum Papers Ltd
BSE/BOM539408,Kuber Udyog Ltd
BSE/BOM505299,Kulkarni Power & Tools Ltd
BSE/BOM513703,Kumar Wire Cloth Manufacturing Company Ltd
BSE/BOM526869,Kumbhat Financial Services Ltd
BSE/BOM523594,Kunststoffe Industries Ltd
BSE/BOM511048,Kusam Electrical Industries Ltd
BSE/BOM536170,Kushal Tradelink Ltd
BSE/BOM530421,Kuwer Industries Ltd
BSE/BOM531206,Kwality Credit & Leasing Ltd
BSE/BOM531882,Kwality Ltd
BSE/BOM530967,Kyra Landscapes Ltd
BSE/BOM500250,Lgbalakrishnan & Brosltd
BSE/BOM533519,L&t Finance Holdings Ltd
NSE/LTTS,L&T Technology Services Ltd
BSE/BOM526947,La Opala Rg Ltd
BSE/BOM505693,La Tim Metal & Industries Ltd
BSE/BOM524202,Lactose (india) Ltd
BSE/BOM530577,Ladderup Finance Ltd
BSE/BOM524522,Laffans Petrochemicals Ltd
BSE/BOM531842,Lahoti Overseas Ltd
BSE/BOM535387,Lakhotia Polyesters (india) Ltd
BSE/BOM505302,Lakshmi Automatic Loom Works Ltd
BSE/BOM504258,Lakshmi Electrical Control Systems Ltd
NSE/LAKSHMIEFL,Lakshmi Energy and Foods Ltd
NSE/LFIC,Lakshmi Finance & Industrial Corporation Ltd
BSE/BOM500252,Lakshmi Machine Works Ltd
BSE/BOM502958,Lakshmi Mills Company Ltd
BSE/BOM519570,Lakshmi Overseas Industries Ltd
BSE/BOM506079,Lakshmi Precision Screws Ltd
BSE/BOM534690,Lakshmi Vilas Bank Ltd
NSE/LAMBODHARA,Lambodhara Textiles Ltd
NSE/LANCOIN,Lanco Industries Ltd
BSE/BOM532778,Lanco Infratech Ltd
BSE/BOM509048,Lancor Holdings Ltd
BSE/BOM532275,Landmarc Leisure Corporation Ltd
BSE/BOM533012,Landmark Property Development Company Ltd
NSE/LTI,Larsen & Toubro Infotech Ltd
BSE/BOM500510,Larsen & Toubro Ltd
BSE/BOM531164,Laser Diamonds Ltd
NSE/LAURUSLABS,Laurus Labs Ltd
BSE/BOM532829,Lawreshwar Polymers Ltd
BSE/BOM539125,Layla Textile And Traders Ltd
NSE/LCCINFOTEC,LCC Infotech Ltd
BSE/BOM531134,Le Waterina Resorts & Hotels Ltd
BSE/BOM531288,Lead Financial Services Ltd
BSE/BOM508306,Ledo Tea Coltd
BSE/BOM517415,Lee & Nee Softwares (exports) Ltd
BSE/BOM509046,Leena Consultancy Ltd
BSE/BOM533602,Lesha Industries Ltd
NSE/LGBBROSLTD,LG Balakrishnan & Bros Ltd
BSE/BOM533007,Lgb Forge Ltd
BSE/BOM530273,Liberty Phosphate Ltd
BSE/BOM526596,Liberty Shoes Ltd
BSE/BOM511593,Libord Finance Ltd
